"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"10","1039906503","Выводная шестерня","А","1",""
"11","1039814236","Пылезащитный колпачок","А","1",""
"12","1039814237","Гнездо подшипника","А","1",""
"13","1040304395","Стопорное кольцо для отверстия","А","1",""
"14","1040400416","Магнитная резьбовая заглушка","А","2",""
"15","1039814238","Уплотнительное кольцо","А","2",""
"16","1039814239","Планетарный каркас первого 
уровня","А","1",""
"17","1039814240","Вал планетарного колеса 
второго уровня","А","4",""
"18","1039814241","Упорное кольцо планетарного 
колеса первого уровня","А","4",""
"19","1039814242","Прокладка планетарного колеса 
второго уровня","А","4",""
"20","1039814243","Планетарное колесо первого 
уровня","А","4",""
"21","1050202924","Подшипник","А","4",""
"22","1040304396","Стопорное кольцо для отверстия","А","8",""
"23","1040304397","Упорное кольцо для вала","А","4",""
"24","1039814244","Центральное колесо первого 
уровня","А","1",""
"25","1039814245","Планетарный каркас второго 
уровня","А","1",""
"26","1039814246","Вал планетарного колеса 
первого уровня","А","3",""
"27","1039814247","Прокладка планетарного колеса 
первого уровня","А","3",""
"28","1040304398","Упорное кольцо для вала","А","1",""
"29","1039814248","Планетарное колесо второго 
уровня","А","3",""
"30","1050202925","Подшипник","А","3",""
"31","1040304399","Упорное кольцо для вала","А","3",""
"32","1039814249","Центральное колесо второго 
уровня","А","1",""
"33","1081013164","Уплотнительное кольцо","А","2",""
"34","1040304400","Сложная прокладка","А","2",""
"35","1040105117","Внутренняя шестигранная 
заглушка","А","2",""
"36","1039814250","Корпус поршня","А","1",""
"37","1039814251","Ограничительная прокладка","А","1",""
"38","1040304401","Стопорное кольцо для отверстия","А","1",""
"39","1040304390","Нейлоновое упорное кольцо","А","1",""
"40","1081013165","Уплотнительное кольцо","А","1",""
"41","1039814252","Поршень","А","1",""
"42","1039814253","Входной фланец","А","1",""
