"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"43","1081201960","Вентиляционная пробка (кольцо 
ED)","А","1",""
"44","1040105118","Внутренний шестигранный винт","А","12",""
"45","1040304402","Пружинящая шайба","А","12",""
"46","1081013166","О-образное кольцо","А","1",""
"47","1081013167","О-образное кольцо","А","1",""
"48","1039814254","Соединительный вал","А","1",""
"49","1040304391","Нейлоновое упорное кольцо","А","1",""
"50","1081013168","Уплотнительное кольцо","А","1",""
"51","1119800332","Большая пружина","А","12",""
"52","1119800333","Малая пружина","А","12",""
"53","1040304392","Регулировочная шайба","А","1",""
"54","1039814255","Позиционирующий фильм","А","4",""
"55","1039814256","Подвижный фильм","А","3",""
"56","1040008992","Шестигранный болт","А","12",""
"57","1040304393","Плоская шайба","А","12",""
"58","1039814257","Зубчатый обод","А","1",""
"59","1040304403","Внутренняя шестигранная 
заглушка","А","1",""
"60","1040304346","Сложная прокладка","А","1",""
"61","1040304404","Упорное кольцо для вала","А","1",""
"62","1040304394","Шайба выходного вала","А","1",""
"63","1050200892","Подшипник","А","1",""
"64","1081013169","Сальник","А","2",""
"65","1050202926","Подшипник","А","1",""
