"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"4","00773407000201432","Точка подъема","А","4",""
"6","00773407000231592","Сложный знак точки привязки и 
точки подъема I","А","4",""
"7","00773407010231022","Опасность защемления","А","4",""
"8","02555407010231062","Демонтаж в соответствии с 
инструкцией","А","4",""
"9","00773407000231582","Сложный знак привязки и 
запрещения подъема","А","12",""
"10","00773407000201272","Запрещается промывать водой","А","6",""
"11","02555407010231022","Опасность опрокидывания без 
текста 300KG-454KG","А","4",""
"14","00771407000201122","ZOOMLION-Капот","B","4",""
"19","00775607000401322","Знак неизоляции","А","4",""
"21","02551507030201120","Желтая стрелка","А","6",""
"22","02551507030201110","Синяя стрелка","А","6",""
"23","02564707000231032","Знак добавки смазочного масла","А","2",""
"24","00764307000231172","Регулярное введение 
консистентной смазки 
поворотных подшипников","А","2",""
"25","00771407030201142","Демонтаж запрещен","А","20",""
"26","02552007020401022","Маркировка поворотной 
платформы ZT32J в сборе","А","2",""
"27","02551707000401082","Бак дизельного топлива","А","2",""
"28","00771407010401202","Знак заправки топлива по 
стандарту выбросов Евро-V","А","2",""
"29","02551707000401072","Знак - внимание на вращающую 
платформу","А","2",""
"41","00771407000401192","QR-код","А","2",""
"42","00771407000201252","Знак шума","А","2",""
"49","00771407000401342","Диагностическая система 
контроля выбросов","А","2",""
"50","00771407000401362","Знак добавки смазочного масла, 
соответствующего стандарту 
выбросов Евро-V","А","2",""
"53","02551507010201052","Знак предупреждения высокой 
температуры регенерации","А","2",""
