"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"72","1040002433","Болт","А","18","JB/T5783-2000"
"74","1040302489","Шайба","B","38","GB/T97.1-2002"
"75","1040002434","Болт","А","10","JB/T5783-2016"
"78","00773400300001150","Регулировочная шайба Ⅵ","А","12",""
"79","00771100301320000","Ползун","B","8",""
"80","00773400300001140","Регулировочная шайба Ⅴ","B","30",""
"161","1040001631","Болт","А","9","JB/T5783-2000"
"162","1040300771","Шайба","А","9","GB/T97.1-2002"
"163","02552000301601021","Боковая щеточная доска","А","2",""
"164","02551500301401050","Боковая прижимная планка","А","2",""
"165","00771600301615010","Верхняя прижимная планка","А","1",""
"166","02552000301601011","Верхняя щеточная доска","А","1",""
"167","02552000301610000","Ползун","А","2",""
"168","00773400300001131","Регулировочная шайба (2 мм)","А","6",""
"169","00771100301310000","Ползун","B","2",""
