"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1011403151","Шланг в сборе","А","1",""
"2","1011403152","Шланг в сборе","А","1",""
"3","02552005200201028","Стальная труба в сборе","А","2",""
"4","02552005200201023","Стальная труба в сборе","А","1",""
"5","1140287633","Шланг в сборе","А","1",""
"6","1140282361","Шланг в сборе","А","2",""
"7","1011403150","Шланг в сборе","А","1",""
"8","1140282357","Шланг в сборе","А","1",""
"9","02552005200201031","Стальная труба в сборе","А","1",""
"10","02552005200201029","Стальная труба в сборе","А","1",""
"11","1140282358","Шланг в сборе","А","1",""
"12","1140229793","Шланг в сборе","А","1",""
"13","02552005200201025","Стальная труба в сборе","А","1",""
"14","1140253877","Шланг в сборе","А","1",""
"15","1140271011","Шланг в сборе","А","1",""
"16","1140282346","Шланг в сборе","А","1",""
"17","1140287639","Шланг в сборе","А","1",""
"18","1140282350","Шланг в сборе","А","1",""
"19","1140251765","Шланг в сборе","А","1",""
"20","1140204339","Шланг в сборе","А","1",""
"21","1140256919","Шланг в сборе","А","1",""
"22","1140287638","Шланг в сборе","А","1",""
"23","1140282347","Шланг в сборе","А","1",""
"24","1140287640","Шланг в сборе","А","1",""
"25","1140258323","Шланг в сборе","А","1",""
"26","1140258958","Шланг в сборе","А","1",""
"27","1140258959","Шланг в сборе","А","1",""
"28","1140240209","Шланг в сборе","А","2",""
"29","1140232429","Шланг в сборе","А","1",""
"30","1140255871","Шланг в сборе","А","1",""
"31","1140278127","Шланг в сборе","А","1",""
"32","1140258318","Шланг в сборе","А","1",""
"33","1140101426(2)","Прямой соединитель","А","8",""
"34","1140101665(2)","Прямой соединитель","А","4",""
"35","1140101425","Прямой соединитель","А","4",""
"36","1140101436","Соединитель перегородки","А","2",""
"37","1140101438","Соединитель перегородки","А","2",""
"38","1140103412","Соединитель перегородки","А","2",""
