"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004519","Болт","А","6","JB/T5783-2000"
"2","1040301515","Шайба","А","14","GB/T97.1-2002"
"3","00771407140801091","Кронштейн впускной трубы","А","1",""
"4","00771407140801120","Впускная стальная труба Ⅱ","А","1",""
"5","00771407140801110","Впускной рукав Ⅱ","А","1",""
"6","1990202287","Хомут спирального червяка","А","5","SX12/W3/32-54"
"7","00771407140801170","Трубный зажим на обеих сторон","А","1",""
"8","00771407140801150","Впускная стальная трубаⅠ","А","1",""
"9","00771407140801160","Впускной рукав IV","А","1",""
"10","00771407140801080","Гнутая пластина Ⅲ","А","1",""
"11","1000100891","Воздушный фильтр","А","1",""
"12","1990202291","Хомут спирального червяка","А","1","SX12/W3/83-105"
"13","00771407140801040","Впускная труба Ⅱ","А","1",""
"14","1990202288","Хомут спирального червяка","А","5","SX12/W3/45-67"
"15","1040200503","Гайка","А","6","GB/T889.1-2000"
"16","00771407140801060","Гнутая пластина I","А","1",""
"17","00771407140801070","Впускная стальная труба","А","1",""
"18","00771407140801050","Гнутая пластина Ⅱ","B","2",""
"19","1040004518","Болт","А","8","JB/T5783-2000"
"20","00771407140801010","Впускная труба Ⅰ","А","1",""
"21","00771407140801140","Впускной рукав I","А","1",""
"22","1990202289","Хомут спирального червяка","А","1","SX12/W3/57-79"
"23","00771407140801130","Впускной рукав Ⅲ","А","1",""
"24","1040302490","Шайба","B","2","GB/T97.1-2002"
"25","1040001803","Болт","А","2","JB/T5786-2000"
