"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02552000810200000","Сварной элемент поворотной 
платформы","E","1",""
"14","1040300735","Шайба","А","8","GB/T96.1-2002"
"15","1040301515","Шайба","А","10","GB/T97.1-2002"
"16","1040004517","Болт","А","6","JB/T5783-2000"
"18","1040201875","Гайка","B","4","GB/T889.1-2000"
"19","00772500800001191","Прокладка кронштейна I","А","2",""
"20","00772500800001201","Прокладка кронштейна II","А","2",""
"21","00771400800001111","Регулировочная шайба","А","2",""
"22","1040004508","Болт","А","2","JB/T5783-2000"
"23","00771400800001100","Вкладыш","B","1",""
"24","1040302492","Шайба","B","5","GB/T97.1-2002"
"25","00771400840001010","Гнутая пластина I","А","1",""
"26","1040302513","Шайба","А","1","GB/T96.1-2002"
"27","1040002445","Болт","А","1","JB/T5783-2000"
"28","00771400800001020","Самосмазывающийся 
подшипник","А","2",""
"29","00773400800001150","Фрикционная накладка","А","1",""
"30","00771400800001030","Штифт","D","1",""
"31","1040002434","Болт","А","4","JB/T5783-2016"
"32","00773400300001200","Стопорный штифт","F","1",""
"33","1040302512","Шайба","А","2","GB/T96.1-2002"
"34","1040004507","Болт","А","2","JB/T5783-2000"
"35","00771400801800000","Штифт в сборе","А","1",""
"45","1040201865","Гайка","А","2","JB/T6170-2000"
"46","1040001631","Болт","А","2","JB/T5783-2000"
"47","00771400800001190","Опора для установки 
выключателя ИП","А","1",""
"48","00771100800001120","Опора электрического 
выключателя","А","1",""
