"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"36","00773400300001150","Регулировочная шайба Ⅵ","А","12",""
"37","00771100301320000","Ползун","B","8",""
"38","1040101492","Винт","А","4","GB/T70.1-2000"
"39","1040302489","Шайба","B","38","GB/T97.1-2002"
"40","1040004565","Болт","А","6","JB/T5783-2016"
"41","1040002434","Болт","А","22","JB/T5783-2016"
"42","02551500301210000","Ползун","А","2",""
"43","02551500301401100","Регулировочная шайба (5 мм)","А","2",""
"44","00771100301601061","Регулировочная шайба","А","4",""
"45","00773400300001140","Регулировочная шайба Ⅴ","B","30",""
"46","00771100301490000","Ползун","B","2",""
"47","00771100301601071","Регулировочная шайба","А","4",""
"48","1040302489","Шайба","B","52","GB/T97.1-2002"
"49","1040002435","Болт","А","4","JB/T5783-2016"
"50","00771500301001071","Прижимная планка","А","2",""
"51","00771600301401090","Нижняя прокладка","А","2",""
"52","00771600301401100","Верхняя прокладка","А","2",""
