"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"6","1040302492","Шайба","B","7","GB/T97.1-2002"
"7","00771600301201011","Подшипник, не требующий 
смазки","А","2",""
"8","1040300735","Шайба","А","18","GB/T96.1-2002"
"9","1040002738","Болт","А","18","JB/T5783-2000"
"10","02552000302200001","Сварная деталь панели 
заглушки","А","1",""
"11","1040102773","Винт","А","4","GB/T70.1-2000"
"12","1040300771","Шайба","А","8","GB/T97.1-2002"
"13","02552000300001060","Трубный зажим III","А","2",""
"14","02552000300001050","Трубный зажим II","А","2",""
"15","1040004522","Болт","А","2","JB/T5783-2000"
"16","1040301515","Шайба","А","2","GB/T97.1-2002"
"17","02552000300001040","Трубный зажим I","А","2",""
"18","02552000300001030","Боковая уплотнительная 
пластина","А","2",""
"19","02552000301001140","Штырь цилиндра","А","2",""
"20","00773400400001250","Стопорный штифт","E","2",""
"21","1040002447","Болт","А","2","JB/T5783-2000"
