"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040101492","Винт M10×25-8,8","2","JB/T70.1"
"2","1040302489","Шайба 10-200HV","2","JB/T97.1"
"3","1010601139","Обратный масляный фильтр","1",""
"4","00774105200210000","Корпус масляного бака","1",""
"5","1040002441","Болт M12×50-8,8","4","JB/T5783"
"6","1140101628","Резьбовая заглушка","1",""
"7","1040302821","Шайба 12-200HV","4","JB/T96.1"
"8","1040004511","Болт M12×30-8,8","2","JB/T5783"
"9","1149901683","Прямой соединитель","1",""
"10","1140111237","Прямой соединитель","1",""
"11","1140101464","Прямой соединитель","2",""
"12","1140101462","Прямой соединитель","1",""
"13","1140101629","Резьбовая заглушка","1",""
"14","1140105928","Прямой соединитель","1",""
"15","1019901354","Уровнемер-термометр","1",""
"16","00773405200230000","Уплотняющая пластина","1",""
"17","00773405200220001","Крышка люка","1",""
"18","1040103111","Винт M8×16-8.8","8","JB/T70.1"
"19","1040301515","Шайба 8-200HV","8","JB/T97.1"
"20","1010500489","Воздушный фильтр","1",""
"21","1140103362","Прямой соединитель","3",""
