"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774101000001011","Блок противовеса","1",""
"2","00774101000001021","Блок противовеса","2",""
"3","1040302483","Шайба 24-200HV","4","JB/T96.1"
"4","1040004613","Болт M24×60-10.9","4","JB/T5782"
