"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774106200230010","Пучок кабеля поворотной 
платформы","1",""
"2","","Клапан движения вперед 2","1",""
"3","","Клапан движения назад 2","1",""
"4","/","Реле подогревателя","/",""
"5","/","Реле подогревателя","/",""
"6","/","Диагностика двигателя","/",""
"7","/","Оконечное сопротивление","/",""
"8","/","Клапан движения вперед 1","/",""
"9","/","Клапан движения назад 1","/",""
"10","/","Реле пускового мотора","/",""
"11","/","Вставка ЭБУ","/",""
"12","/","Возбуждение двигателя","/",""
"13","","Сигнализация засорения 
воздушного фильтра","/",""
"14","/","Уровень охлаждающей жидкости","/",""
