"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774100800001090","Переходная    плита I","2",""
"2","1040302821","Шайба 12-200HV","27","JB/T96.1"
"3","1040004644","Болт M12×45-10,9","22","JB/T5783"
"4","1040004507","Болт M10×40-8.8","2","JB/T5783"
"5","00771400800001030  Штифт","","1",""
"6","00773400300001200","Стопорный штифт","1",""
"7","00771400801800000  Штифт в сборе","","1",""
"8","00774000800400000","Кронштейн двигателя","1",""
"9","00771400800001140","Гнутая пластина","1",""
"10","1040200504","Гайка M10-8","2","JB/T889.1"
"11","1040201381","Гайка M12-8","1","JB/T6170"
"12","00773400800001221","Регулировочная шайба","1",""
"13","1040102741","Винт M10×40-8,8","2","JB/T70.1"
"14","00773400800001210","Вкладыш для поддона","1",""
"15","00773400800001311","Регулировочная шайба","3",""
"16","1040002555","Болт M6×16-A2-70","1","JB/T5783"
"17","1040300735","Шайба 6-200HV","1","JB/T96.1"
"18","00771400800001020","Самосмазывающийся подшипник","2",""
"19","00773400800001150","Фрикционная накладка","1",""
"20","1040002434","Болт M10×25-8.8","16","JB/T5783"
"21","00773400800001200","Опора переключателя","1",""
"22","1040001631","Болт M6×20-A2-70","2","JB/T5783"
"23","1040300771","Шайба 6-200HV","6","JB/T97.1"
"24","1040005846","Болт M12×20-8,8","4","JB/T5783"
"25","1040201896","Гайка M6-8","6","JB/T889.1"
"26","00774000800001610","Нажимная плита аккумулятора","2",""
"27","00774000800001600","Перегородка для аккумулятора","1",""
"28","00773400800001131","Тяга аккумулятора","4",""
"29","00774000802100000","Поддон аккумулятора","1",""
"30","00774000800001360","Упорная планка II","1",""
"31","00774100800200000","Сварной элемент поворотной платформы","1",""
"32","00774100801200000","Защитный кожух датчика","1",""
"33","1040302489","Шайба 10-200HV","23","JB/T97.1"
"34","00771100800001080","Стопорный штифт","1","1"
