"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774100700201030","Прямоугольная труба","1",""
"2","00774100700201120","Механизм буксируемой цепи","1",""
"3","1040201896","Гайка","8","JB/T889.1"
"4","00774100700201130","Переходная плита","1",""
"5","1040103076","Винт","4","JB/T70.3"
"6","1040101643","Винт","8","JB/T70.1"
"7","00773700700001100","Подкладка","1",""
"8","1040300514","Шайба","16","JB/T97.1"
"9","1040200503","Гайка","14","JB/T889.1"
"10","1040004522","Болт","2","JB/T5783"
"11","1040301515","Шайба","22","JB/T97.1"
"12","00774000700001120","Трубный хомут III","1",""
"13","00774000700201070","Трубный хомут I","1",""
"14","00773700700001030","Изогнута пластинка","1",""
"15","00774000700001110","Прокладка","1",""
"16","1040004675","Болт","2","JB/T5782"
"17","1040004519","Болт","10","JB/T5783"
"18","00774000700201040","Прижимная планка трубопровода","1",""
"19","00774000700201080","Трубный хомут II","1",""
"20","00774000700201060","Прокладка","1",""
"21","00774100700210000","Кронштейн I","1",""
