"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"35","1040103205","Винт M12×100-8.8","1","JB/T70.1"
"36","00774100800001050","Капот III","1",""
"37","1040302480","Шайба 8-200HV","43","JB/T96.1"
"38","1040004518","Болт M8×20-8,8","39","JB/T5783"
"39","00774100800001130","Антифрикционная плита","2",""
"40","1040101494","Винт M12×40-8.8","4","JB/T70.1"
"41","00774100800001190","Прокладка II","1",""
"42","00774100800001180","Регулировочная шайба","6",""
"43","00774001000001030","Защитная планка I","2",""
"44","1040100087","Винт M12×25-8.8","8","JB/T70.1"
"45","00774000800001060","Монтажная планка датчика","1",""
"46","00774100800001100","Скоба вращающегося соединения","1",""
"47","00774100800001060","Штырь башенной стрелы","1",""
"48","00773400400001170","Стопорный штифт","2",""
"49","00774100800001160","Штырь башенной стрелы II","1",""
"50","1040004499","Болт M16×45-8,8","2","JB/T5783"
"51","00774000800001010","Упорная планка I","1",""
