"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004521","Болт M8×45-8,8","4","JB/T5783"
"2","1040301510","Шайба 8","4","JB/T93"
"3","1040301515","Шайба 8-200HV","4","JB/T97.1"
"4","1140101465","Торцевой проходной соединитель 
G3/8/M22×1.5","2",""
"5","1010306020","Балансировочный клапан","1",""
