"Item","Part Number","Description","Qty.","Remark"
"1","00001163","Nut  GB/T 6182  M8","8",""
"2","00000608","Flat Washer  GB/T 97.1  8","16",""
"3","92000231","Bracket, Contact Alarm","2",""
"4","00000609","Spring Washer  GB/T 93  8","8",""
"5","00000993","Bolt  GB/T 5783  M8 × 25","8",""
"6","92000239","Pin","2",""
"7","92000238","Tube","2",""
"8","92000237","Spring","2",""
"9","92000236","JDBB-1013 Bearing","4",""
"10","92000253","Jacket, Foam","2",""
"11","00006226","Magnet","1",""
"12","92000243","Plug, Nylon","2",""
"13","92000240","Tube, Contact Alarm","2",""
"14","00000620","Flat Washer  GB/T 97.1  6","2",""
"15","00001033","Nut  GB/T 6182  M6","2",""
"16","00006225","Door Magnetic Switch","1",""
