"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775600102800000","Lower components","1",""
"2","1040000156","Bolt M8×60","6","GB/T5783-2000"
"3","1040300066","Washer 8","12","GB/T97.1-2002"
"4","1040200503","Nut M8-8","6","GB/T889.1-2000"
"5","1040101640","Screw M3×10-A2-70","2","GB/T818-2000"
"6","1040201166","Nut M3-A2-70","4","GB/T6170-2000"
"7","00775600101000000","Guard rails II","1",""
"8","1040200867","Nut M5","6","GB/T889.1-2000"
"9","00775606300801010","Power mounting plate","1",""
"10","1040102341","Screw M5×12-8.8","6","GB/T70.1-2000"
"11","00775606630400000","Platform AC assembly","1",""
"12","1100400025","D Pin 6.3×55","2",""
"13","00775600102000000","Guard rails III","1",""
"14","00775600100400000","Guard rails I","1",""
"15","1101000163","Spring hinge","2",""
"16","00775600101800000","Platform gate","1",""
"17","1040200506","Nut M6-8","12","GB/T889.1-2000"
"18","1040300051","Washer 6","24","GB/T97.1-2002"
"19","1040001185","Bolt M6×55-8.8","12","GB/T5783-2000"
"20","1040102718","Screw M8×50","8","GB/T70.1-2000"
"21","00775600102400000","Platform pin mounting base","2",""
"22","00775600100001020","Gasket I","2",""
"23","00775600102200000","Mounting pulley assembly","2",""
