"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040300526","Washer 12","16","GB/T97.1-2002"
"2","1040300054","Washer 12","16","GB/T93-1987"
"3","1040100854","Screw M12×40-10.9","16","GB/T70.1-2008"
"4","00775302840001250","Drive wheel shaft sleeve","4",""
"5","1081002027","O-ring 56×3.55","2","GB/T3452.1-2005"
"6","1040600145","Flat key 14×9×50","2","GB/T1096-2003"
"7","00775302840001230","Driveing shaft","2",""
"8","1040600723","Flat key C12×8×63","2","GB/T1096-2003"
"9","00775302843000000","Driveing wheel","2",""
"10","1040300212","Washer 24-200HV","2","GB/T96.1-2002"
"11","1040200840","Nut M24x3","2","GB/T6181-1986"
"12","1040500394","Cotter pin","2","GB/T91-2000"
"13","1031400891","Rubber track 
200×72×55-A","2",""
"14","1040000016","Bolt M16×35-8.8","10","GB/T5783-2000"
"15","1040302937","Washer 16","10","GB/T93-2000"
"16","1040300052","Washer","10","GB/T97.1-2002"
"17","00775302840001220","Wheel cover","10",""
"18","00775302840001340","Counterweight wheels","8",""
"19","1081001703","O-ring 75×3.55","20","GB/T3452.1-2005"
"20","00775302840001270","Supporting wheel shaft sleeve","18",""
"21","1040101191","Screw M6×40-10.9","6","GB/T70.1-2008"
"22","1040201097","Nut M6-9","6","GB/T6182-2000"
"23","00775302840001280","Joe zone plate","2",""
"24","1080000006","Oil cup M8×1","12","JB/T7940.1-1995"
"25","108000001002","Bolt M20×160-8.8","2","GB/T5783-2000"
"26","00775302841600000","Guide wheel","2",""
"27","00775302840001360","Guide wheel shaft sleeve","2",""
"28","00775302840400000","Guide wheel mounting seat","2",""
