"NO.","Material No.","Item and Spec","Units","Remark"
"1","1990201051","Clamp φ60-φ80","6",""
"2","00775300310001090","Nylon sleeve II","12",""
"3","00775300340001010","End line slotⅠ","2",""
"4","1089900652","Sealing strip16×3","6",""
"5","1040000114","Bolt M10×25-8.8","3","GB/T5782-2000"
"6","00775600300001060","Support bar","2",""
"7","00775300310001040","Nylon sleeve I","2",""
"8","1040200504","Nut M10-8","3","GB/T889.1-2000"
"9","1054400336","Composite bush 
32.13/32.21×38.05/38.1×30","4",""
"10","1010201686","Hadraulic oil cylinder","1",""
"11","1040300051","Washer 6","4","GB/T97.1-2002"
"12","00775605200401030","Pull down the cable bracket","1",""
"13","1040100055","Hexagon socket svrew M6×20","2","GB/T70.1-2000"
"14","1040200506","Nut M6-8","2","GB/T889.1-2000"
"15","1040102034","Screw M8×60-10.9","4","GB/T70.1-2000"
"16","1040300063","Washer 8","4","GB/T93-1987"
"17","1010308649","Lower lift cylinder control valve","1",""
"18","1019901768","Stay","1",""
"19","1040201842","Connecting nut M8-M5","1",""
"20","1100700162","T handle（red）","1",""
"21","00775600300001110","Plastic mat","24",""
