"No.","Material No.","Item and Spec","Qty","Remark"
"1","00773400100230000","Swing gate","1",""
"2","1101000138","Reset hinge","2",""
"3","1040006016","Screw M6×10-A2-70","16","GB/T 70.3-2000"
"4","00771600100210000","Platform weld","1",""
"5","00773400100201020","Key cylinder","1",""
"6","00775600101801020","Spring","1",""
"7","1040004522","Bolt M8×50-8.8","1","GB/T 5783-2000"
"8","1040301515","Washer 8-200HV","2","GB/T 97.1-2002"
"9","1040201880","Nut M8-6","1","GB/T 802-1988"
"10","1040201902","Nut M6-6","12","GB/T 802-1988"
"11","1040300771","Washer 6-200HV","14","GB/T 97.1-2002"
"12","00773400100201010","Dam-board I","1",""
"13","1040300735","Washer 6-200HV","10","GB/T 96.1-2002"
"14","1040102773","Screw M6×40-8.8","6","GB/T 70.1-2000"
"15","1040102774","Screw M6×15-8.8","6","GB/T 70.1-2000"
"16","1999904986","Document box","1",""
