"No.","Material No.","Item and Spec","Qty","Remark"
"1","00773406200210000","Platform electrical control box","1",""
"2","1040200503","Nut M8-8","6","GB/T 889.1-2000"
"3","1040302480","Washer 8-200HV","12","GB/T 96.1-2002"
"4","00773406300201030","Rubber pad","2",""
"5","1040004619","Bolt M8×35-8.8","4","GB/T 5783-2000"
"6","1040201896","Nut M6-8","13","GB/T 889.1-2000"
"7","1040300771","Washer 6-200HV","23","GB/T 97.1-2002"
"8","00773400100261110","Block","2",""
"9","1040006017","Screw M6×25-A2-70","9","GB/T 70.1-2000"
"10","00773400100260020","Hood","1",""
"11","00773400200261060","Bolt","2",""
"12","00773400100261050","Bearing","2",""
"13","1040005844","Bolt M6×10-A2-70","4","GB/T 5783-2000"
"14","00773400100261030","Plate II","1",""
"15","1040102646","Screw M6×12-8.8","2","GB/T 70.3-2000"
"16","00773400100261080","Dam-board","2",""
"17","1020521022","Foot switch","1",""
"18","00771400100201020","Self-made washer","3",""
"19","00771400100401080","Self-made bolt","1",""
"20","1040004653","Bolt M12×30-10.9","18","GB/T 5783-2000"
"21","1040302490","Washer 12-200HV","16","GB/T 97.1-2002"
"22","00771600100001040","Rotary actuator adjustable shim","1",""
"23","1040301511","Washer 24-200HV","3","GB/T 97.1-2002"
"24","1040201111","Nut M24-10","1","GB/T 889.1-2000"
"25","1040302821","Washer 12-200HV","2","GB/T 96.1-2002"
"26","00771600100200000","Platform assembly","1",""
"27","00771600100400000","Tray assembly","1",""
"28","1040102372","Screw M6×20-A2-70","2","GB/T 70.1-2000"
"29","00771600101400000","Platform hydraulic valve 
protective cover","1",""
"30","00771600101600000","Hydraulic valve bracket weld","1",""
"31","00771600101000000","Filter bracket weld","1",""
"32","1040101643","Screw M6×30-A2-70","2","GB/T 70.1-2000"
