"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","00771406200220000","Электрический шкаф управления
поворотной платформой","1",""
"2","00771406200220000","Электрический шкаф управления
поворотной платформой","0",""
"3","/","Уровень топлива","/",""
"4","/","Засорение масляного фильтра","/",""
"5","/","Топливный насос","/",""
"6","/","Водо-масляный сепаратор","/",""
"7","/","Клапан втягивания стрелы","/",""
"8","/","Поворот вправо поворотной
платформы","/",""
"9","/","Поворот влево переднего колеса","/",""
"10","/","Клапан выдвижения стрелы","/",""
"11","/","Клапан подъема стрелы","/",""
"12","/","Поворот влево поворотной
платформы","/",""
"13","/","Поворот вправо переднего колеса","/",""
"14","/","Расходный клапан платформы","/",""
"15","/","Расходный клапан
выдвижения-втягивания стрелы","/",""
"16","/","Расходный клапан подъема
стрелы","/",""
"17","/","Расходный клапан вращения
поворотной платформы","/",""
"18","1029906298","Концевой выключатель угла
поворота поворотной платформы","1",""
"19","/","Плавающий клапан управления","/",""
"20","/","Тормозной клапан","/",""
