"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771400300001030","Колпак","1",""
"2","1040301515","Шайба 8","23","GB/T97.1-2002"
"3","1040004590","Болт M8×14-8.8","12","GB/T5783-2000"
"4","00771400300001010","Перекрывающая пластина I","2",""
"5","00771400300890000","Левый прижимной блок","1",""
"6","00771400300820000","Гидроцилиндр
выдвижения-втягивания","1",""
"7","00771400300880000","Штифт III","2",""
"8","1040004519","Болт M8×25-8.8","10","GB/T5783-2000"
"9","00771400300900000","Правый прижимной блок","1",""
"10","00771400300801150","Прокл-ка","4",""
"11","00771400301201030","Не требующий смазки
подшипник","2",""
"12","00771400300001020","Перекрывающая пластина II","1",""
"13","00771400301201020","Не требующий смазки
подшипник","2",""
"14","00771400300200000","1-я секция стрелы","1",""
"15","00771400301210000","Нижняя противопылевая щетка","1",""
"16","00771400301230000","Верхняя противопылевая щетка","1",""
"17","00771400301220000","Боковая противопылевая щетка","2",""
"18","00771400300801050","Стальной канат втягивания
стрелы","2",""
"19","00771400300830000","Неподвижный шкив","2",""
"20","1040302489","Шайба 10","34","GB/T97.1-2002"
"21","1040002434","Болт M10×25-8.8","8","GB/T5783-2000"
"22","00771400300810000","Устройство для регулировки
натяжения","1",""
"23","1040302492","Шайба 16-200HV","4","GB/T97.1-2002"
"24","1040201382","Гайка M16","4","GB/T6170-2000"
"25","1040302493","Шайба 20","1","GB/T97.1-2002"
