"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407120601160","Изогнутая пластина V Tp4","1",""
"2","00771407120601130","Изогнутая пластина III Tp4","1",""
"3","1040004619","Болт M8×35-8.8","4",""
"4","00771407120601110","Изогнутая пластина I Tp4","1",""
"5","00771407120601140","Изогнутая пластина IV Tp4","1",""
"6","1000300735","Расширительный бак
1311-01690 4л","1",""
"7","1990202279","Хомут червяка и червячного
колеса SX9/W4/12-20","4",""
"8","00771407120601050","Паровой шланг Ⅰ O8×3.5","1",""
"9","00771407120601060","Паровой шланг Ⅱ O8×3.5","1",""
"10","00771407120601020","Резиновая труба II O45×5","1",""
"11","00771407120601070","Штуцер Ow45×1.5","1",""
"12","00771407120601030","Резиновая труба III O45×5","1",""
"13","1000300809","Вентилятор в сборе
WFCN19F00025390_8-8_S1HR_
45_PAG_2640RPM","1",""
"14","00771407120601080","Вкладыш вентилятора <o>83","1",""
"15","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"16","00771407120601100","Штуцер резиновой трубы II
O45×5","1",""
"17","00771407120601010","Обратный водовод Ow45×1.5","1",""
"18","1990202283","Хомут червяка и червячного
колеса шайбы SX15.8/W4/45-67","8",""
"19","1990202282","Хомут червяка и червячного
колеса SX9/W4/25-40","2",""
"20","00771407120601090","Штуцер резиновой трубы I
O45×5","1",""
