"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771601103401010","Панель","1",""
"2","1109800044","Замок с язычком","2",""
"3","00771601103001010","Дверное полотно","1",""
"4","1040101640","Винт","8",""
"5","1040201166","Гайка","8","GB/T6170-2000"
"6","1040300585","Шайба","8",""
"7","1999905631","Петля","1","LC254-1"
"8","1040100371","Винт","5","GB/T818-2000"
"9","1101000152","Петля","1",""
"10","1040301515","Шайба","133","GB/T97.1-2002"
"11","1040201078","Гайка","5","GB/T6170-2000"
"12","00771401110800000","Сварка правого заднего капота","1",""
"13","00771401110600000","Сварка левого заднего капота","1",""
"14","00771401110200000","Сварка правого переднего
капота","1",""
"15","00771401110400000","Сварка левого переднего капота","1",""
"16","00771401110001120","Уплотняющая плита 6","1",""
"17","1040200503","Гайка","64","GB/T889.1-2000"
"18","00771401110001110","Изогнутая пластина 2","1",""
"19","1040004519","Болт","24","GB/T5783-2000"
"20","00771401110001090","Уплотняющая плита 5","1",""
