"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00773407000201060","Знак. Заправлять согласно
руководству по эксплуатации","1",""
"2","00773407000201070","Опасность. Опасность
поражения электрическим током","6",""
"3","00773407000201080","Знак. Описание управления
наземным блоком управления","1",""
"4","00773407000201090","Опасность. Опасность
опрокидывания Ⅰ","1",""
"5","00773407000201150","Внимание. Отключить
аккумулятор","1",""
"6","00773407000201160","Внимание. К работе допускается
только уполномоченный
персонал, прошедший
подготовку и обучение","1",""
"7","00773407000201170","Опасность. Запрещается
прикасаться","1",""
"8","00773407000201180","Знак. Запрещается наступать","4",""
"9","00773407000201190","Опасность. Опасность
придавливания","2",""
"10","00773407000201200","Внимание. Запрещается
поддерживать руками или
крепить трос","3",""
"11","00773407000201210","Опасность. Опасность
защемления","3",""
"12","00771409900601042","ZT26J Паспортная табличка","1",""
"13","00773407000201230","Сигнал тревоги. Отказ педали","1",""
"14","00773407000201240","Знак. Подъем запрещен","6",""
"15","00773407000201250","Знак. При транспортировке
необходимо вставить стопорный
штифт","1",""
"16","00773407000201260","Знак. Меры предосторожности
при использовании","2",""
