"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771400300600000","3-я секция стрелы","1",""
"2","00771400300801100","Зажимная пластина стального
каната","1",""
"3","1040004518","Болт M8×20","8","GB/T5783-2000"
"4","1040301515","Шайба 8","2","GB/T97.1-2002"
"5","00771400300801160","Монтажная панель датчика","2",""
"6","1040302492","Шайба 16","4","GB/T97.1-2002"
"7","1040201382","Гайка
M16","4","GB/T6170-2000"
"8","1040200161","Гайка
M16","4","GB/T6182-2000"
"9","00771400300801090","Прижимная планка Ⅱ","2",""
"10","00771600301001230","Направляющий стержень","2",""
"11","00771400300801020","Пружина","2",""
"12","00771400300801060","Монтажный кронштейн
стального каната Ⅰ","1",""
"13","00771400300801180","Стальной канат выдвижения
стрелы","2",""
"14","1040004593","Болт M10×55","2","GB/T5782-2000"
"15","1040004565","Болт M10×30","2","GB/T5783-2000"
"16","1040302489","Шайба 10","18","GB/T97.1-2002"
"17","00771400300801080","Прижимная планка Ⅰ","1",""
"18","00771400300801070","Монтажный кронштейн
стального каната Ⅱ","1",""
"19","00771400300801110","Крышка","1",""
"20","1040004522","Болт M8×50","4","GB/T5783-2000"
"21","1040004519","Болт M8×25","12","GB/T5783-2000"
"22","00771400300801130","Защитная пластина Ⅰ","2",""
"23","00771400300860000","Штифт I","2",""
"24","00771400300801010","Не требующий смазки
подшипник Ⅰ","2",""
"25","00771400300850000","Шкив втягивания стрелы","2",""
