"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1000400477","Топливный бак в сборе CD430
150л","1",""
"2","1040002458","Болт M8×40-8.8","2","GB/T5783-2000"
"3","1040301515","Шайба 8-200HV","7","GB/T97.1-2002"
"4","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"5","1140114594","Быстросъемная муфта
D9.49>PA12","2",""
"6","1990202279","Хомут червяка и червячного
колеса SX9/W4/12-20","8",""
"7","00771407120401030","Топливная труба II O10×3","1",""
"8","00771407120401040","Топливная труба III O10×3","1",""
"9","00771407120401050","Топливная труба IV O10×3","1",""
"10","1140114596","Быстросъемная муфта>PA7.89","1",""
"11","1140114593","Быстросъемная муфта
CWDGBD7.89","1",""
"12","1040004518","Болт M8×20-8.8","3","GB/T5783-2000"
"13","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"14","00771407120401010","Изогнутая пластина I Tp8","1",""
"15","1990200692","Клейкая лента, покрытая слоем
пластмассы 20-φ20-φ20-M8","5",""
"16","1040300771","Шайба 6-200HV","5","GB/T97.1-2002"
"17","1040005844","Болт M6×10-8.8","5","GB/T5783-2000"
"18","00771407120401020","Топливная труба I O10×3","1",""
"19","00773407100401060","Пустотелый болт M16×1.5×35","2",""
"20","1081000673","Комбинированная
уплотнительная шайба
JB/T982-1977 16","4",""
"21","00773407100401050","Штуцер II<o>10","2",""
