"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771406200210000","Электрический шкаф
управления платформой","1",""
"2","00771406200210000","Электрический шкаф
управления платформой","0",""
"3","1020521022","Педальный переключатель","1",""
"4","/","Клапан поворота влево
платформы","/",""
"5","/","Клапан поворота вправо
платформы","/",""
"6","/","Клапан опускания консоли","/",""
"7","/","Клапан подъема при
выравнивании","/",""
"8","/","Разгрузочный клапан
платформы","/",""
"9","/","Клапан подъема консоли","/",""
"10","/","Клапан опускания при
выравнивании","/",""
"11","1020700540","Оконечное сопротивление","1",""
"12","1021404015","Датчик угла наклона
платформы","1",""
"13","1021404016","Датчик веса","1",""
"14","00771406200610000","Волочащийся кабель","0",""
