"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771400210001220","Шнек консоли I","4",""
"22","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"23","1040201089","Гайка M8","4",""
"24","1040103111","Винт M8×16-8.8","2","GB/T70.1-2000"
"25","00771400200001200","Защитная коробка датчика","1",""
"26","00771400210001110","Самосмазывающийся
подшипник I","2",""
"27","1010201527","Качающийся цилиндр","1",""
"28","00771400210001080","Распорная втулка качающегося
цилиндра","1",""
"29","00771400210001120","Самосмазывающийся
подшипник II","2",""
"30","00771400210001020","Передний штифт верхнего
шатуна","1",""
"31","00771400210001070","Передний штифт нижнего
шатуна","1",""
"32","00771400210001030","Штифт гидроцилиндра
верхнего шатуна","1",""
"33","00771400210001130","Самосмазывающийся
подшипник III","2",""
"34","00771400210001160","Распорная втулка
гидроцилиндра выравнивания
консоли I","1",""
"35","00771400210001150","Самосмазывающийся
подшипник V","",""
