"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","1040004678","Болт останова двери","8",""
"22","1040200504","Гайка","35","GB/T889.1-2000"
"23","00771401110001100","Изогнутая пластина 1","1",""
"24","00771401110001050","Уплотняющая плита 2","1",""
"25","00771401111400000","Монтажный кронштейн левого
заднего капота","1",""
"26","1101000089","Петля","8",""
"27","00771401111600000","Монтажный кронштейн правого
заднего капота","1",""
"28","1110100324","Пневматическая пружина","4",""
"29","00771401110001060","Уплотняющая плита 3","1",""
"30","1100700163","Дверная ручка","4",""
"31","00771101100001020","Монтажная панель сердцевины
замка","1",""
"32","1109900779","Дверной замок","2",""
"33","00771401112000000","Держатель левого заднего
шарнира замка","2",""
"34","1110100308","Пневматическая пружина","4",""
