"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407121001030","Кронштейн Tp4","1",""
"2","1040200503","Гайка M8-8","16","GB/T889.1-2000"
"3","1040002434","Болт M10×25-8.8","8","GB/T5783-2000"
"4","1040302489","Шайба 10-200HV","8","GB/T97.1-2002"
"5","00771407121001040","Выхлопная труба II Tp1.5","1",""
"6","00771407101001030","Усилительная планка Tp4","1",""
"7","00771407101001020","Воздуховыпускной труба-хвост
Ow89×1.5","1",""
"8","1040004519","Болт M8×25-8.8","16","GB/T5783-2000"
"9","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"10","00771407121001050","Уплотнительная прокладка I T2","2",""
"11","00771407121001060","Уплотнительная прокладка II
T2","1",""
"12","00771407121001020","Выхлопная труба I Tp1.5","1",""
"13","00771407121001010","Глушитель","1",""
