"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"26","00771400300801190","Стальной канат втягивания
стрелы","2",""
"27","1040500394","Разводной штифт 5×40","2","GB/T91-2000"
"28","1040302493","Шайба
20","4","GB/T97.1-2002"
"29","00771400300801120","Штифт Ⅱ","2",""
"30","1040004517","Болт M8×16","1","GB/T5783-2000"
"31","00771400300870000","Штифт II","1",""
"32","1040004594","Болт M10×140","4","GB/T5782-2000"
"33","00771400301241020","T-образная гайка","2",""
"34","1040200113","Гайка M10-8","4","GB/T6170-2000"
"35","00771400300801140","Защитная пластина Ⅱ","",""
"36","1040004595","Болт M10×180","2","GB/T5782-2000"
"37","00771400300801170","Сухарь","2",""
"38","00771400300820000","Гидроцилиндр
выдвижения-втягивания","1",""
"39","00771400300801030","Не требующий смазки
подшипник Ⅱ","2",""
"40","00771400300840000","Шкив выдвижения стрелы","1",""
