"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004565","Болт M10×30-8.8","2","GB/T5783-2000"
"2","1149901739","Быстросъемная муфта","2",""
"3","00771107100401070","Изогнутая пластина Tp4","1",""
"4","1149901738","Быстросъемная муфта","1",""
"5","00773407100401030","Изогнутая пластина III Tp4","1",""
"6","1040004518","Болт M8×20-8.8","5","GB/T5783-2000"
"7","1040301515","Шайба 8-200HV","8","GB/T97.1-2002"
"8","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"9","00771407100401020","Топливная труба I O10×3","1",""
"10","00771407100401060","Топливная труба V O10×3","1",""
"11","1040200503","Гайка M8-8","2","GB/T889.1-2000"
"12","1040005844","Болт M6×10-8.8","4","GB/T5783-2000"
"13","00773407100401060","Пустотелый болт
M16×1.5×35","5",""
"14","1081000673","Комбинированная
уплотнительная шайба
JB/T982-1977 16","10",""
"15","00773407100401050","Штуцер II<O>10","5",""
"16","1000400477","Топливный бак в сборе
CD430 150л","1",""
"17","00771407100401090","Подкладка T4","2",""
"18","1040002458","Болт M8×40-8.8","2","GB/T5783-2000"
"19","1000400478","Водо-масляный сепаратор
FH2380500M","1",""
"20","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
