"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771400301240000","Сухарь","5",""
"2","00771400301401020","Регулировочная прокладка","6",""
"3","00771400301401010","Регулировочная прокладка","2",""
"4","1040302489","Шайба 10","43","GB/T97.1-2002"
"5","1040002434","Болт M10×25-8.8","16","GB/T5783-2000"
"6","1040004507","Болт M10×40-8.8","10","GB/T5783-2000"
"7","00771400301401080","Регулировочная прокладка","8",""
"8","00771400301250000","Сухарь","10",""
"9","1040002433","Болт M10×20-8.8","4","GB/T5783-2000"
"10","00771400301201010","Вкладыш","1",""
"11","00771400301401090","Регулировочная прокладка","2",""
"12","00771400301430000","Верхняя противопылевая щетка","1",""
"13","00771400301420000","Боковая противопылевая щетка","2",""
"14","00771400301410000","Нижняя противопылевая щетка","1",""
"15","00771400300400000","2-я секция","1",""
"16","00773400300001140","Регулировочная прокладка V","6",""
"17","00773400300001130","Регулировочная прокладка IV","2",""
"18","00771400301401040","Регулировочная прокладка","4",""
"19","00771400301401050","Вкладыш","2",""
"20","00771400301401070","Нейлоновая лента Ⅱ","1",""
"21","00771400301401060","Нейлоновая лента Ⅰ","1",""
"22","1990202278","Двухсторонняя поролоновая
лента","3",""
