"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771407100601060","Штуцер резиновой трубы
Ⅰ O42×5","1",""
"22","1000300701","Блок радиатора
4821.107.0000v1","1",""
"23","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"24","00771407100601170","Подкладка
T2","6",""
"25","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"26","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"27","00771407100601110","Изогнутая пластина Ⅲ Tp4","1",""
"28","1040004517","Болт M8×16-8.8","8","GB/T5783-2000"
"29","1040200503","Гайка M8-8","19","GB/T889.1-2000"
"30","1040004519","Болт M8×25-8.8","16","GB/T5783-2000"
"31","00771407100601280","Уплотнительная лента II","1",""
"32","00771407100601150","Пластина Ⅱ Tp4","2",""
"33","1040301515","Шайба 8-100HV","35","GB/T97.1-2002"
"34","1040004521","Болт M8×45-8.8","4","GB/T5783-2000"
