"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","00771407100601240","Пластина III Tp4","2",""
"2","00771407100601270","Уплотнительная лента I","1",""
"3","00771407100601160","Пластина Ⅰ Tp4","1",""
"4","00771407100601130","Ветровой щит T4","1",""
"5","00771407100601120","Изогнутая пластина Ⅱ Tp4","1",""
"6","00771407100601100","Изогнутая пластина Ⅳ Tp4","1",""
"7","00771407100601290","Губка изоляции I T20","1",""
"8","1000300735","Расширительный бак 1311-01690
4л","1",""
"9","1990202279","Хомут червяка и червячного
колеса SX9/W4/12-20","6",""
"10","00771407100601090","Паровой шланг Ⅰ O8×3.5","1",""
"11","00771407100601070","Паровой шланг Ⅱ O8×3.5","1",""
"12","00771407100601250","Штуцер Ow45×1.5","1",""
"13","00771407100601050","Штуцер резиновой трубы Ⅱ
O42×5","1",""
"14","00771407100601260","Паровой шланг III O6×3.5","1",""
"15","00771407100601080","Водопроводная труба O25×3.5","1",""
"16","1990202282","Хомут червяка и червячного
колеса SX9/W4/25-40","2",""
"17","00771407100601040","Штуцер резиновой трубы Ⅲ
O42×5","1",""
"18","1990202283","Хомут червяка и червячного
колеса шайбы SX15.8/W4/45-67","6",""
"19","1000300702","Вентилятор в сборе
WFLCN1756321","1",""
"20","1040004519","Болт M8×25-8.8","4","GB/T5783-2000"
