"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","1000100391","Агрегат воздушного фильтра
G070017","1",""
"2","00771407120801060","Впускная труба III O76×5","1",""
"3","1990202290","Хомут
спирального
червяка
и
червячного колеса SX12/W3/70-92","2",""
"4","00771407120801030","Впускная труба II O57×5","1",""
"5","1990202289","Хомут спирального червяка и
червячного колеса SX12/W3/57-79","3",""
"6","1040004519","Болт M8×25-8.8","4","GB/T5783-2000"
"7","1040301515","Шайба 8-200HV","6","GB/T97.1-2002"
"8","00771407120801050","Изогнутая пластина II Tp2","1",""
"9","00771407120801010","Впускная труба I O54×5","1",""
"10","00771407120801020","Впускная стальная труба
Ow51×1.5","1",""
"11","00771407120801040","Изогнутая пластина I Tp4","1",""
"12","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"13","1040200503","Гайка M8-8","4","GB/T889.1-200
0"
