"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771400210400000","Нижний шатун","2",""
"2","00771400210001140","Самосмазывающийся
подшипник IV","4",""
"3","00771400210001170","Распорная втулка
гидроцилиндра изменения
вылета консоли II","1",""
"4","00771400211000000","Гидроцилиндр изменения
вылета","1",""
"5","00771400210001060","Нижний штифт опоры","1",""
"6","1040103116","Винт M8×75","8","GB/T70.1-2000"
"7","1040200503","Шестиугольная контргайка M8","8","GB/T889.1-2015"
"8","00771400210001010","Штифт нижнего шатуна","1",""
"9","00771400210001050","Верхний штифт опоры","1",""
"10","00771400210001190","Коробка трубопроводов
консоли","1",""
"11","00771400210600000","Опора","1",""
"12","00771400210001040","Задний штифт верхнего шатуна","2",""
"13","00771400211200000","Регулируемый трубный зажим","2",""
"14","1040004590","Болт M8×14-8.8","4","GB/T5783-2000"
"15","00771400210001180","Стопорный штифт","2",""
"16","1040302490","Шайба 12","2","GB/T97.1-2002"
"17","1040004511","Болт M12×30","1","GB/T5783-2000"
"18","00771400210200000","Верхний шатун","1",""
"19","00771400210001200","Нижняя зажимная пластина
трубопровода консоли","2",""
"20","00771400210001210","Верхняя зажимная пластина
трубопровода консоли","2",""
