"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","1040004595","Болт M10×180-8.8","2","GB/T5782-2000"
"2","1040302489","Шайба 10-200HV","44","GB/T97.1-2002"
"3","00771400710001050","Прижимная планка","1",""
"4","00771400710001040","Скользящая опора","2",""
"5","1040004599","Болт M8×60-8.8","1","GB/T5782-2000"
"6","1040301515","Шайба 8-200HV","33","GB/T97.1-2002"
"7","00771400710001120","Прижимная планка Ⅱ","1",""
"8","00771400710001110","Нейлоновый прижимной блок Ⅱ","1",""
"9","1040201897","Гайка M8-8","14","GB/T889.1-2015"
"10","00771400710001100","Труба из алюминиевого сплава","1",""
"11","1040500047","Штифт 5×70","1","GB/T91-2000"
"12","1040102738","Болт M8×55-8.8","1","GB/T70.1-2000"
"13","00771400710600000","Монтажный кронштейн
буксируемой трубы","1",""
"14","1040102648","Винт M8×25-A2-70","12","GB/T70.2-2000"
"15","00771400711600000","Поворотный кронштейн","1",""
"16","00771400700001010","Шайба","2",""
"17","1040002434","Болт M10×25-8.8","4","GB/T5783-2000"
"18","1040301502","Шайба 10","22","GB/T93-1987"
"19","1040201898","Гайка M10-8","12","GB/T889.1-2015"
"20","1040004656","Болт M10×65-8.8","2","GB/T5782-2000"
