"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","1000100391","Агрегат воздушного фильтра
G070017","1",""
"2","1040201089","Гайка M8-A2- 70","2","GB/T6170-2000"
"3","00771407100801010","Впускная труба Ⅰ O76×4","1",""
"4","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"5","1040301515","Шайба 8-200HV","2","GB/T97.1-2002"
"6","1990200546","T-образный хомут (без пружины)
STB083091W2 83-91","2",""
"7","00771407100801020","Впускная труба Ⅱ O63×4","1",""
"8","1990200579","T-образный хомут (без пружины)
STB067075 W267-75","2",""
"9","00771407100801030","Впускная труба Ⅲ O63×4","1",""
"10","1990200511","T-образный хомут (без пружины)
STB076084 W276-84","1",""
"11","00771407100801040","Впускная стальная труба
Ow63×1.5","1",""
