"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771400301240000","Сухарь","2",""
"2","00771400301401020","Регулировочная прокладка","6",""
"3","00771400301401090","Регулировочная прокладка","2",""
"4","00771400301401010","Регулировочная прокладка","2",""
"5","1040302489","Шайба 10","28","GB/T97.1-2002"
"6","1040002434","Болт M10×25-8.8","12","GB/T5783-2000"
"7","00773400300001140","Регулировочная прокладка","6",""
"8","00771400301401080","Регулировочная прокладка","6",""
"9","00771400301250000","Сухарь","6",""
"10","1040004565","Болт M10×30-8.8","4","GB/T5783-2000"
"11","00771400301601010","Вкладыш","2",""
"12","00771400300600000","3-я секция стрелы","1",""
