"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771400710001020","Прижимная планка","2",""
"22","00771400710001010","Нейлоновый прижимной блок","2",""
"23","1040103121","Винт M10×35-8.8","9","GB/T70.2-2000"
"24","00771400710400000","Неподвижный кронштейн Ⅱ","1",""
"25","1040002433","Болт M10×20-8.8","18","GB/T5783-2000"
"26","00771400711400000","Основание крепления
буксируемой цепи","1",""
"27","00771400710001070","Противоударный сухарь","1",""
"28","00771400711200000","Стальная буксируемая цепь","1",""
"29","1040002458","Болт M8×40-8.8","1","GB/T5783-2000"
"30","00771400710001140","Прижимная планка Ⅲ","1",""
"31","00771400710001130","Зажим маслопровода","1",""
"32","1040101643","Винт M6×30-A2-70","16","GB/T70.1-2000"
"33","1040301610","Шайба 6","32","GB/T93-1987"
"34","00771400710001090","Основание крепления
маслопровода Ⅱ","8",""
"35","00771400710001060","Основание крепления
маслопровода Ⅰ","8",""
"36","00771400710201020","Опорная плита буксируемой
цепи","7",""
"37","1040004517","Болт M8×16-8.8","2","GB/T5783-2000"
"38","00771400711800000","Регулируемый трубный зажим","1",""
