"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"21","/","Двухскоростной клапан","/",""
"22","/","Общественная земля","/",""
"23","/","Реле вспомогательного силового
насоса","/",""
"24","1029905348","Положительный полюс
аккумулятора","1",""
"25","/","ECU
X24.1","/",""
"26","/","ECU
X24.2","/",""
"27","00771406200420000","Пучок кабеля ECU","1",""
"28","1020304982","Аварийный зуммер","1",""
"29","1021404019","Датчик угла наклона кузова
относительно горизонта","1",""
"30","00771406200430000","Пучок кабеля стрелы","/",""
"31","/","Уличный фонарь (Опциональная
установка)","/",""
"32","/","Промежуточный модуль лампы
аварийной сигнализации","/",""
"33","1020404399","Лампа аварийной сигнализации","/",""
