"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004498","Болт с шестигранной
головкойM20×40-8.8","4","GB/T 5783-2000"
"2","1040302493","Плоская шайба 20-200HV","4","GB/T 97.1-2002"
"3","00771600100001030","Защитный крюк платформы II","2",""
"4","1040004619","Болт с шестигранной
головкойM8×35-8.8","4","GB/T 5783-2000"
"5","1040301515","Плоская шайба класса А
8-200HV","16","GB/T 97.1-2002"
"6","00773400100401020","Прижимная планка","2",""
"7","1040004654","Болт с шестигранной головкой
M16×1.5×40","8","GB/T 5787-1986"
"8","1040301511","Плоская шайба класса А
24-200HV","8","GB/T 97.1-2002"
"9","00771600100420000","Переходный держатель","1",""
"10","1021404016","Датчик веса","1",""
"11","00771600100410000","Сварная деталь кронштейна","1",""
"12","1040201089","Шестигранная гайка типа 1
M8-8","6","GB/T 6170-2000"
"13","00773400100401040","Вкладыш","3",""
"14","1040301510","Пружинная шайба стандартного
типа 8","6","GB/T 93-1987"
"15","1040103118","Винт M8×100-8.8","6","GB/T 70.1-2000"
