"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004519","Болт M8×25-8.8","4","GB/T5783-2000"
"2","1040301510","Шайба 8","4","GB/T93-1987"
"3","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"4","1140101462","Прямой соединитель","2","GE12LREDOMDCF"
"5","1140101463","Прямой соединитель","1","GE12LR1/2EDOMDCF"
"6","1140114361","Длинный прямой
соединитель","2","GE15LREDOMDCF-L70"
"7","1140101464","Прямой соединитель","1","GE15LREDOMDCF"
"8","1140101523","Прямой соединитель","1","GE20SREDOMDCF"
"9","1140101534","Прямоугольный
композитный
штуцер","1","EW20SOMDCF"
"10","1140101475","Прямоугольный
композитный
штуцер","2","EW08LOMDCF"
"11","1140101737","Прямоугольный
композитный
штуцер","1","EW28LOMDCF"
"12","1140114416","Прямой соединитель","1","GE28LR3/4EDOMDCF-L80"
"13","1140108469","Прямой соединитель","2","GE08LR3/8EDOMDCF"
"14","1149901686","Длинный прямой
соединитель","2","GE08LR3/8EDOMDCF-L50
.5"
"15","1140114187","Манометрический
штуцер","1","SD-M16×2-F-G1/4"""
"16","1140111237","Прямой соединитель","2","GE08LREDOMDCF"
"17","1010306162","Главный клапан","1",""
