"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"34","00771407000201050","Знак. Номинальное значение
уклона","1",""
"35","00771407000201060","Знак. Схема рабочего диапазона","2",""
"36","00771407000201070","Знак. Описание управления
пультом управления рабочей
платформы","1",""
"37","00771407000201080","Знак. Синяя стрелка","3",""
"38","00771407000201090","Знак. Желтая стрелка","3",""
"39","00771407000201100","Знак. Желтый треугольник","2",""
"40","00771407000201110","Знак. Синий треугольник","2",""
"41","00773407000201120","Знак. ZOOMLION","1",""
"42","00771407000201130","Знак. ZOOMLION","1",""
"43","00771407000201140","Знак. ZT26J","1",""
"44","00773407000201010","Знак. ZOOMLION","1",""
"45","00773407000201030","Знак. ZOOMLION","1",""
"46","00773400700201050","Знак. ЗУМЛИОН","1",""
"47","00771407000201150","Знак. Дизельный бак","1",""
"48","00771407000201160","Знак. Гидравлический бак","1",""
"49","00771407000201170","Знак. Экологическая
информация","1",""
"50","00771407000201030","Знак. Инструкция по
транспортировке и подъему","1",""
"51","00773407000201480","Знак. Низкий уровень масла","1",""
"52","00773407000201490","Знак. Высокий уровень масла","1",""
