"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"26","1040200161","Гайка M16","4","GB/T889-1986"
"27","1040201484","Гайка M20","2","GB/T6170-2000"
"28","1040200741","Гайка M20","1","GB/T889.1-2000"
"29","00771400301250000","Сухарь","6",""
"30","00773400300001140","Регулировочная прокладка Ⅴ","8",""
"31","00773400300001130","Регулировочная прокладка Ⅳ","2",""
"32","1040004591","Болт M4×8-8.8","4","GB/T5783-2000"
"33","1040302410","Шайба 4","4","GB/T97.1-2002"
"34","00771100300001070","Крышка датчика","1",""
"35","00771400300001060","Перекрывающая пластина III","1",""
"36","1040002433","Болт M10×20-8.8","8","GB/T5783-2000"
"37","00771400301401080","Регулировочная прокладка IV","6",""
"38","00771400301240000","Сухарь","2",""
"39","00771400301201010","Вкладыш","2",""
"40","1040004508","Болт M10×45-8.8","2","GB/T5783-2000"
"41","1040004509","Болт M10×50-8.8","2","GB/T5783-2000"
"42","00771400300001070","Шайба","2",""
"43","1040004570","Болт M16×30-8.8","2","GB/T5783-2000"
