"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002447","Болт M16×45-8.8","4","GB/T5783-2000"
"2","00771400600001060","Стопорный штифт","1",""
"3","00771400300001040","Штифт I","2",""
"4","00771400600001030","Самосмазывающийся
подшипник","2",""
"5","00771602800001410","Износостойкая прокладка
качающего вала","2",""
"6","00771400600001090","Распорная втулка","2",""
"7","1040002293","Болт M20×170-10.9","1","GB/T5782-2000"
"8","00771400610001020","Штифт","4",""
"9","1040200741","Гайка
M20-10","1","GB/T889.1-2000"
"10","00771400610600000","Гидроцилиндр изменения
вылета","1",""
"11","00771400600001070","Самосмазывающийся
подшипник","2",""
"12","00771400610800000","Задний левый шатун","2",""
"13","00771400610400000","Задний правый шатун","1",""
"14","1040002245","Болт M16×35-8.8","1","GB/T5783-2000"
"15","00771400610001010","Штифт","2",""
"16","00771400610200000","Передний шатун","1",""
"17","00771400301201030","Не требующий смазки
подшипник Ⅱ","1",""
"18","00771400600001010","Штифт","1",""
"19","1040300143","Стопорное кольцо","1","GB/T894.1-1986"
