"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"46","00771400800001070","Штифт","2",""
"47","1040004565","Болт M10×30","18","GB/T5783-2000"
"48","00771400801600000","Опора стрелы","1",""
"49","00771400800001080","Нейлоновый вкладыш","2",""
"50","1040004509","Болт M10×50-8.8","4","GB/T5783-2000"
"51","00771400800001090","Изогнутая пластина","1",""
"52","1040201882","Гайка
M16","1","GB/T6172-2000"
"53","1040002450","Болт M16×80-8.8","1","GB/T5783-2000"
"54","00771400800001130","Изогнутая пластина","1",""
"55","00771400802000000","Кронштейн топливного бака","1",""
"56","00771400800001160","Резиновая прокладка
электрического шкафа
управления","1",""
"57","00771400802200000","Кронштейн электрического
шкафа управления","1",""
"58","00771400800001150","Прокл-ка","4",""
"59","00771400802400000","Кронштейн электрического
шкафа управления Ⅱ","1",""
"60","1040002738","Болт M6×12-A2-70","4","GB/T5783-2000"
"61","00771400800001200","Кронштейн электропроводки","1",""
"62","00771400800001170","Кожух зубчатого венца","1",""
