"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771406200410000","Пучок кабеля поворотной
платформы","0",""
"2","/","Расходный клапан опускания
стрелы","/",""
"3","/","Клапан опускания стрелы","/",""
"4","1029906298","Концевой выключатель длины
стрелы (убранный)","1",""
"5","1029906298","Концевой выключатель длины
стрелы (ограниченный)","1",""
"6","/","Промежуточный модуль
концевого выключателя","/",""
"7","1020700540","Оконечное сопротивление","1",""
"8","1021404017","Датчик длины стрелы","1",""
"9","1021404018","Датчик угла стрелы","1",""
"10","1020516032","Бесконтактный выключатель
защиты от ослабления стального
каната 2","1",""
"11","1020516032","Бесконтактный выключатель
защиты от ослабления стального
каната 1","1",""
"12","00771406200610000","Волочащийся кабель","1",""
