"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004653","Болт M12×30-10.9","4","GB/T5783-2000"
"2","00773407100201040","Изогнутая пластина III Tp10","1",""
"3","1000000707","Дизельный двигатель TD2.9L4","1",""
"4","1040201089","Гайка M8-8","4","GB/T6170-2000"
"5","1040002178","Болт M6×30-8.8","4","GB/T5783-2000"
"6","1040003912","Болт M16×120-10.9-DKL","4","GB/T5783-200"
"7","1040302492","Шайба 16-300HV","4","GB/T97.1-2002"
"8","00773407100201020","Изогнутая пластина II Tp10","1","GB/T5783-2000"
"9","00773407100201010","Изогнутая пластина I Tp10","1",""
"10","1040302491","Шайба 14-200HV","4","GB/T97.1-2002"
"11","1040004513","Болт M14×40-10.9","4","GB/T5783-2000"
"12","1040201382","Гайка M16-8","4","GB/T6170-2000"
"13","00773407100201050","Подкладка
Tp8","4",""
"14","1001500061","Демпфер двигателя
07Y-03-10000A-00","8",""
"15","1040101492","Винт M10×25-8.8","12","GB/T70.1-2000"
"16","00773407100201070","Крышка муфты Tp44","1",""
"17","1040004033","Болт M10×25-10.9","8","GB/T5783-2000"
"18","1030400480","Эластичная муфта в сборе
714368-1","1",""
"19","00773407100201030","Изогнутая пластина IV Tp10","1",""
"20","1040302491","Шайба 14-140HV","4","GB/T97.1-2002"
