"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407120201030","Изогнутая пластина III Tp8","1",""
"2","1040201896","Гайка M6-8","4","GB/T889.1-2000"
"3","1040002178","Болт M6×30-8.8","4","GB/T5783-2000"
"4","00771407120201020","Изогнутая пластина II Tp8","1",""
"5","1040004033","Болт M10×25-10.9","8","GB/T5783-2000"
"6","00771407120201050","Крышка муфты Tp20","1",""
"7","1040302489","Шайба 10-200HV","12","GB/T97.1-2002"
"8","1040002435","Болт M10×35-8.8","12","GB/T5783-2000"
"9","1030400480","Эластичная муфта в сборе
714368-1","1",""
"10","1040003912","Болт M16×120-10.9","4","GB/T5783-200"
"11","1040302492","Шайба 16-300HV","4","GB/T97.1-2002"
"12","1040200161","Гайка M16-8","4","GB/T889-1986"
"13","00773407100201050","Подкладка
Tp8","4",""
"14","1001500061","Демпфер двигателя
07Y-03-10000A-00","8",""
"15","00771407120201010","Изогнутая пластина I Tp8","1",""
"16","00771407120201040","Изогнутая пластина IV Tp8","1",""
"17","1040004653","Болт M12×30-10.9","16","GB/T5783-2000"
"18","1040302490","Шайба 12-200HV","16","GB/T97.1-2002"
"19","1000000735","Дизельный двигатель QSF2.8
54kw/2400RPM","1",""
