"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00773406200210000","Электрический шкаф
управления платформой в
сборе","1",""
"2","1040200503","Контргайка M8-8","4","GB/T889.1-2015"
"3","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"4","1040004519","Болт M8×25-8.8","4","GB/T5783-2000"
"5","00771600100200000","Узел платформы","1",""
"6","1040102372","Винт M6×20-A2-70","8","GB/T70.1-2000"
"7","1020521022","Педальный
переключатель","1",""
"8","00771400100201020","Самодельная шайба","4",""
"9","1040201865","Гайка
M6-8","8","GB/T6170-2000"
"10","00771400100401080","Самодельный болт","1",""
"11","1040004653","Болт M12×30-10.9","18","GB/T5783-2000"
"12","1040302490","Шайба 12","18","GB/T97.1-2002"
"13","1010201527","Качающийся цилиндр","1",""
"14","00771600100001040","Регулировочная
прокладка качающегося
цилиндра","1",""
"15","1040301511","Шайба 24-200HV","3","GB/T97.1-2002"
"16","1040201111","Контргайка M24-10","1","GB/T889.1-2015"
"17","00771600100600000","Сварная деталь рамы
гидравлического клапана","1",""
"18","1040300771","Шайба 6-200HV","6","GB/T97.1-2002"
"19","00771600100400000","Узел кронштейна","1",""
"20","00771600100001050","Гидравлическая защитная
крышка платформы II","1",""
"21","0077160010000102","Кронштейн фильтра","1",""
"22","1040300771","Шайба 6-200HV","6","GB/T97.1-2002"
"23","1040102594","Винт M6×20- 10,9","6","GB/T70.2-2000"
