"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"26","00771400800001110","Регулировочная прокладка","3",""
"27","00771400800001100","Вкладыш","1",""
"28","1040004508","Болт M10×45-8.8","2","GB/T5783-2000"
"29","1040004517","Болт M8×15-8.8","6","GB/T5783-2000"
"30","1040001631","Болт M6×20","2","GB/T5783-2000"
"31","00771400800001190","Монтажный кронштейн
выключателя питания","1",""
"32","1040302490","Прокладка 12-200HV","","GB/T97.1-2002"
"33","1040002436","Болт M12×25","4","GB/T5783-2000"
"34","00771400801000000","Стопорный кронштейн
поворотной платформы","1",""
"35","00771400800001010","Стопорный штифт поворотной
платформы","1",""
"36","1040100714","Винт M12×130","1","GB/T70.1-2000"
"37","1040300771","Шайба 6-200HV","6","GB/T97.1-2002"
"38","1040201865","Гайка
M6-8","2","GB/T6170-2000"
"39","00771400800001120","Опора электрического
выключателя","1",""
"40","00771400800001180","Монтажный кронштейн насоса
аварийного электродвигателя","1",""
"41","1040004519","Болт M8×25","8","GB/T5783-2000"
"42","00771400800001040","Угловая сталь","1",""
"43","1040302489","Шайба 10-200HV","27","GB/T97.1-2002"
"44","00771400801400000","Кронштейн аккумулятора","1",""
"45","00771400800001050","Тяга","2",""
