"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"17","00773407000201270","Предупреждение. Запрещается
промывать высоконапорной
водой","3",""
"18","00773407000201310","Опасность. Опасность
опрокидывания Ⅱ","1",""
"19","00773407000201320","Предупреждение. Опасность
столкновения","2",""
"20","00773407000201360","Опасность. Опасность
опрокидывания Ⅲ","4",""
"21","00773407000201370","Опасность. Опасность взрыва
Ⅰ","1",""
"22","00773407000201380","Опасность. Опасность взрыва
Ⅱ","1",""
"23","00773407000201390","Внимание. Храните руководство
по эксплуатации","1",""
"24","00773407000201400","Знак. Внимательно прочитайте
инструкцию","1",""
"25","00773407000201410","Знак. Точка крепления
страховочного троса","8",""
"26","00773407000201420","Знак. Строповка","8",""
"27","00773407000201430","Знак. Подъем","4",""
"28","00773407000201440","Внимание. Инструкция
управления главным
выключателем питания","1",""
"29","00773407000201450","Предупреждение.
Предэксплуатационная проверка","2",""
"30","00773407000201470","Опасность. Опасность
получения ожога","1",""
"31","00771407000201010","Опасность. Опасность
опрокидывания Ⅳ","1",""
"32","00771407000201020","Знак. Нагрузка на колеса","4",""
"33","00771407000201030","Опасность. Опасность
опрокидывания Ⅴ","4",""
