"Item","Part Number","Description","Qty.","Remark"
"28","85000144","Controller","1",""
"29","00000605","Flat Washer  GB/T 97.1  5","4",""
"30","00000606","Spring Washer  GB/T 93  5","4",""
"31","00000817","Screw  GB/T 70  M5 × 20","4",""
"32","00000752","Base With 1 NC Contact","1",""
"33","00000754","Red Mushroom Head","1",""
"34","00006135","Switch, Toggle","4",""
"35","00002712","Nut  GB/T 6170  M4","8",""
"36","00000779","Spring Washer  GB/T 93  4","8",""
"37","00000778","Flat Washer  GB/T 97.1  4","8",""
"38","92000093","Cover, Platform Control Box","1",""
"39","00005394","Joystick","2",""
"40","00001232","Screw  GB/T 818  M4 × 16 - H","8",""
