"Item","Part Number","Description","Qty.","Remark"
"1","00003194","3/8-16×1 1/4""  Bolt  ANSI B18.2.1","8",""
"2","00005181","Washer  ANSI B18.21.1  3/8","8",""
"3","00005182","Washer  ANSI B18.22.1  narrow  3/8","8",""
"4","50007655","Protection","1",""
"5","00010219","Flange","1",""
"6","00001033","Nut  GB/T 6182  M6","7",""
"7","00000620","Flat Washer  GB/T 97.1  6","14",""
"8","00002203","Throttle Solenoid","1",""
"9","10002730","Throttle Screw","1",""
"10","00002247","Nut  GB/T 6170  M6","3",""
"11","10002731","Throttle Screw","1",""
"12","10002729","Throttle Linkage","1",""
"13","00000743","Bolt  GB/T 5783  M6 × 20","4",""
"14","00002204","Solenoid Module","1",""
"15","00002228","Screw  GB/T 70  M4 × 25","2",""
"16","00000779","Spring Washer  GB/T 93  4","2",""
"17","00000778","Flat Washer  GB/T 97.1  4","2",""
"18","00000678","Bolt  GB/T 5783  M10 × 25","2",""
"19","00000679","Spring Washer  GB/T 93  10","2",""
"20","00000615","Flat Washer  GB/T 97.1  10","2",""
"21","10002727","Throttle Solenoid Bracket","1",""
"22","00005719","5/16-18×1 3/8""  Bolt  ANSI B18.2.1","6",""
"23","00000609","Spring Washer  GB/T 93  8","6",""
"24","00000608","Flat Washer  GB/T 97.1  8","6",""
"25","00002904","Bolt  GB/T 5783  M14 × 40","2",""
"26","93300873","Washer","2",""
"27","00010226","Drive Pump Assembly","1",""
"28","00010229","Function Pump Assembly","1",""
"29","00004170","Screw  GB/T 70  M12 × 25","2",""
