"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"1","00773400300001050","Подшипник","","А","10",""
"5","1040301515","Шайба","","А","10","GB/T97.1-2002"
"10","00773400300001070","Подшипник","","А","4",""
"11","1040004570","Болт","","А","7","JB/T5783-2000"
"12","00773400400001250","Стопорный штифт","","E","7",""
"17","1040004511","Болт","","А","2","JB/T5783-2000"
"18","00773400200001070","Стопорный штифт","","F","2",""
"27","1040302490","Шайба","","B","1","GB/T97.1-2002"
"28","1040101995","Винт","","А","2","GB/T70.1-2000"
"29","1040002436","Болт","","А","1","JB/T5783-2000"
"30","1040004599","Болт","","А","8","JB/T5782-2000"
"31","02564400400001200","Упорная планка II","","А","4",""
"32","02564400400001190","Трубный зажим III","","А","2",""
"33","02564400400001180","Трубный зажим II","","А","2",""
"34","02564400400001150","Панель заглушки I","","B","1",""
"35","1040300771","Шайба","","А","16","GB/T97.1-2002"
"36","1040005844","Болт","","А","16","JB/T5783-2000"
"37","02564400400001140","Панель заглушки","","А","3",""
"38","02564400400001132","Вкладыш","","А","1",""
"39","02564400400001110","Боковой направляющий 
ползунок верхней стойки","","А","2",""
"40","1040102761","Винт","","А","4","GB/T70.1-2000"
"41","02564400401800000","Узел штифта","","А","1",""
"42","02564400400001060","Вал A6","","B","1",""
"43","00773400410001180","Перегородка вала","","C","4",""
"44","1040002433","Болт","","А","8","JB/T5783-2000"
"45","02564400400001030","Вал A3","","А","1",""
"46","02564400400001040","Вал A4","","B","1",""
"47","02564400400001010","Вал A1","","А","1",""
"48","02564400400001020","Вал A2","","B","1",""
"49","02564400400600001","Шатун III","","А","1",""
"50","02564400401000002","Верхняя стойка","","B","1",""
"51","02564300400800001","Шатун IV","","А","1",""
