"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00773400300001050","Подшипник","А","10",""
"2","00773700400001140","Подшипник","А","4",""
"3","02564400400001210","Фиксированная ось","А","1",""
"4","1040103115","Винт","А","2","GB/T70.1-2000"
"5","1040301515","Шайба","А","10","GB/T97.1-2002"
"6","02564400400001170","Перегородка  Ⅰ","А","1",""
"7","02564400400001160","Трубный зажим I","А","1",""
"8","1040103111","Винт","А","4","GB/T70.1-2000"
"9","02564400400001120","Направляющий блок","А","2",""
"10","00773400300001070","Подшипник","А","4",""
"11","1040004570","Болт","А","7","JB/T5783-2000"
"12","00773400400001250","Стопорный штифт","E","7",""
"13","02564400400001100","Вал A10","B","1",""
"14","00773400400001130","Подшипник","А","8",""
"15","02564400400001090","Вал A10","B","1",""
"16","02564400400001080","Вал A9","B","2",""
"17","1040004511","Болт","А","2","JB/T5783-2000"
"18","00773400200001070","Стопорный штифт","F","2",""
"19","02564400400001070","Вал A7","А","1",""
"20","00773400400001080","Подшипник","B","1",""
"21","02564400400001050","Вал A5","B","1",""
"22","02564400401400001","Тяга","А","1",""
"23","02564400401600000","Гидроцилиндр изменения 
вылета башенной стрелы","А","1",""
"24","02564400401200002","Нижняя стойка","B","1",""
"25","02564400400400002","Шатун II","B","2",""
"26","02564400400200002","Шатун II","А","1",""
