"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"30","1040200504","Гайка","А","2","GB/T889.1-2000"
"31","1040000574","Болт","B","4","JB/T5783-2016"
"32","02564402820420000","Крепежная опора аккумулятора","B","1",""
"33","1040303581","Шайба","А","8","GB/T96.1-2002"
"34","1040300771","Шайба","А","6","GB/T97.1-2002"
"35","1040202856","Гайка","А","4","GB/T889.1-2000"
"36","1040302489","Шайба","B","4","GB/T97.1-2002"
"37","1040001640","Болт","А","2","JB/T5783-2000"
"38","1040002178","Болт","А","4","JB/T5783-2000"
"39","1040201772","Гайка","А","4","JB/T6170-2000"
"40","1040102429","Винт","А","10","GB/T70.3-2000"
"41","02564402800630000","Сварная деталь передней 
упорной планки батарейного 
ящика","А","1",""
"42","1040202854","Гайка","А","6","GB/T889.1-2000"
"43","1040007536","Болт","А","2","JB/T5783-2000"
"44","02564402820210001","Главная сварная конструкция 
левого корпуса бака","B","1",""
"45","02564402800620000","Сварная деталь верхней крышки 
батарейного ящика","B","1",""
"46","1101000180","Пряжка","А","2","4002"
