"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"24","1020600107","Предохранитель","B","2","0287010"
"25","1029906870","Клемма предохранителя","А","10","2006-1681.1000-
449"
"26","1029904980","Соединительный зажим","А","14","2004--1301"
"27","1022290054","Закорачивающая плита","А","8","2006--402"
"28","1022270264","Торцевая пластина","А","1","281--335"
"29","1020600074","Предохранитель","B","4","0287010"
"30","1022290051","Торцевая пластина","B","1","280--315"
"31","1020809446","Направляющая","А","1","SU 35/7.5-1(4.8-
25)"
"32","1020600110","Предохранитель","B","2","287030"
"33","1022270003","Диодный соединительный зажим","А","2","281-665/281-400"
"34","1020700974","Упорная планка","А","2","249--116"
"35","1029905163","Торцевая пластина","А","1","2006--1692"
"36","1029904933","Упорная планка","А","1","2004--1392"
"37","1020600116","Предохранитель","B","1","0287003"
"38","1020304559","Реле","B","1","788--303"
