"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140206998","Шланг в сборе","А","1",""
"2","1140206940","Шланг в сборе","А","1",""
"3","1140205246","Шланг в сборе","А","2",""
"4","1140245869","Шланг в сборе","А","1",""
"5","1140240612","Шланг в сборе","А","1",""
"6","1140256644","Шланг в сборе","А","1",""
"7","1140246747","Шланг в сборе","А","2",""
"8","1140202364","Шланг в сборе","А","2",""
"9","1140213582","Шланг в сборе","А","2",""
"10","1140203198","Шланг в сборе","А","1",""
"11","1140260118","Шланг в сборе","А","1",""
"12","1140229092","Шланг в сборе","А","1",""
"13","1140209381","Шланг в сборе","А","1",""
"14","1140262407","Шланг в сборе","А","1",""
